Projects,Raw Requirements,Requiremnet Name,Type,Requirement with Standard Syntax(previous),, type,Requirement with Standard Syntax,Domain,sub_domain,
PR-143,"On confirmation, the system will redirect to the Homepage.",Registeration page,Ubiquitous,the system shall redirect  to the homepage  on confirmation,,ubiquitous,the system shall redirect  to the homepage  on confirmation,Medical,,
PR-143,User can update his/her personal information .,Profile page user,Ubiquitous,the system shall allow user to update  information,,ubiquitous,the system shall allow user to update  information,Medical,,
PR-143,User can logout.,Profile page user,Ubiquitous,the system shall allow user to logout,,ubiquitous,the system shall allow user to logout,Medical,,
PR-143,Admin can update his/her personal information ,Profile page admin,Ubiquitous,the system shall allow admin to update information,,ubiquitous,the system shall allow admin to update information,Medical,,
PR-143,Admin can logout.,Profile page admin,ubiquitous,the system shall  allow admin to logout,,ubiquitous,the system shall  allow admin to logout,Medical,,
PR-144,Patients can book appointment.,Patient,ubiquitous,the system shall allow patient to book appointment,,ubiquitous,the system shall allow patient to book appointment,Medical,,
PR-144,Patients can view doctor profile.,Patient,ubiquitous,the system shall allow patient to view doctors profiel,,ubiquitous,the system shall allow patient to view doctors profiel,Medical,,
PR-144,Patients can view doctor? schedule and fee.,Patient,ubiquitous,the system shall show  doctors fee and schedule to patient,,ubiquitous,the system shall show  doctors fee and schedule to patient,Medical,,
PR-144,Patients can share reports and other required documents with doctor.,Patient,ubiquitous,the system shall allow patient to provide required reports to doctor,,ubiquitous,the system shall allow patient to provide required reports to doctor,Medical,,
PR-144,Patients can view their history.,Patient,ubiquitous,the system shall allow patient to view history,,ubiquitous,the system shall allow patient to view history,Medical,,
PR-144,Doctor can see appointment list.,Doctor,ubiquitous,the system allow dotors to see appointment list,,ubiquitous,the system allow dotors to see appointment list,Medical,,
PR-144,Doctor can reschedule appointments (optional).,Doctor,ubiquitous,the system shall allow dostor to reschedule appointment ,,ubiquitous,the system shall allow dostor to reschedule appointment ,Medical,,
PR-144,Doctors can postpone appointments.,Doctor,ubiquitous,the system shall allow doctor to postpond appointment,,ubiquitous,the system shall allow doctor to postpond appointment,Medical,,
PR-144,Doctors can see patients?past investigations.,Doctor,ubiquitous,the system shall allow doctor to see patient past investigation,,ubiquitous,the system shall allow doctor to see patient past investigation,Medical,,
PR-144,Admin can add doctor.,Doctor,ubiquitous,the system shall allow admin to add doctor,,ubiquitous,the system shall allow admin to add doctor,Medical,,
PR-144,Delete Doctor.,Doctor,ubiquitous,the system shall allow admin to delete doctor,,ubiquitous,the system shall allow admin to delete doctor,Medical,,
PR-144,Delete Doctor.,Doctor,ubiquitous,the system shall allow admin to delete doctor,,ubiquitous,the system shall allow admin to delete doctor,Medical,,
PR-145,The application shall allow the user to make an account.,Sign up ,Ubiquitous,the system shall allow  user  to create account ,,ubiquitous,the system shall allow  user  to create account ,Social media,,
PR-145,The application shall allow users to enter email address/user-id.,Login,Ubiquitous,the system shall allow user to add email id and user name ,,ubiquitous,the system shall allow user to add email id and user name ,Social media,,
PR-145,The application allows users to select emotion from category list. ,Select category ,Ubiquitous,the system shall allow user to selct emotion from category list,,ubiquitous,the system shall allow user to selct emotion from category list,Social media,,
PR-145,The application shall detect the user? emotion.,Emotion detection,Ubiquitous,they system shall detect emotions,,ubiquitous,they system shall detect emotions,Social media,,
PR-145,The application will allow user to see status bar the song.,Music player,Ubiquitous, system shall allow user to see  song at status bar,,ubiquitous,the system shall allow the user to see song on status bar,Social media,,
PR-145,The application will allow user to add/delete song.,Music player,Ubiquitous,the system shall allow user to add and delete songs,,ubiquitous,the system shall allow the user to add song ,Social media,,
,,,,,,ubiquitous,the system shall allow user to delete song,Social media,,
PR-145,The application will allow user to control volume.,Music player,Ubiquitous,the system shall allow user to control volume,,ubiquitous,the system shall allow user to control volume,Social media,,
PR-147,The Portal must allow the Users to safely log out of their account. ,logout,Ubiquitous,the system shall allow user to logout,,ubiquitous,the system shall allow user to logout,Education,,
PR-147,The Portal will allow Users to view the projects. ,projects,Ubiquitous,the portal shall allow user to view projects,,ubiquitous,the portal shall allow user to view projects,Education,,
