index,Raw Requirements,Requirement with Standard Syntax, type,Domain,sub_domain,raw_length,standard_length,clean_raw_length,clean_standard_length,POS,Boilerplate Sentence
1672,system provide customer tax agent rate agent option.,system shall provide customer tax agent rate agent option.,0,Tax Calculator,Mobile app,79,79,52,58,"[('system', 'NN'), ('provide', 'VB'), ('customer', 'NN'), ('tax', 'NN'), ('agent', 'NN'), ('rate', 'NN'), ('agent', 'NN'), ('option', 'NN'), ('.', '.')]",The system shall provide  system customer tax agent rate option
1673,system ask customer tax agent select rate agent.,system shall ask customer tax agent select rate agent.,0,Tax Calculator,Mobile app,81,80,48,54,"[('system', 'NN'), ('ask', 'VB'), ('customer', 'NN'), ('tax', 'NN'), ('agent', 'NN'), ('select', 'NN'), ('rate', 'NN'), ('agent', 'NN'), ('.', '.')]",The system shall ask  system customer tax agent select rate
1674,system provide customer tax agent invite friend option.,system shall provide customer tax agent invite friend option.,0,Tax Calculator,Mobile app,80,79,55,61,"[('system', 'NN'), ('provide', 'VB'), ('customer', 'NN'), ('tax', 'NN'), ('agent', 'NN'), ('invite', 'NN'), ('friend', 'NN'), ('option', 'NN'), ('.', '.')]",The system shall provide  system customer tax agent invite friend option
1675,system ask customer tax agent select friend his/her device send invitation.,system shall ask customer tax agent select friend his/her device send invitation.,0,Tax Calculator,Mobile app,109,108,75,81,"[('system', 'NN'), ('ask', 'VB'), ('customer', 'NN'), ('tax', 'NN'), ('agent', 'NN'), ('select', 'NN'), ('friend', 'NN'), ('his/her', 'NN'), ('device', 'NN'), ('send', 'NN'), ('invitation', 'NN'), ('.', '.')]",The system shall ask  system customer tax agent select friend his/her device send invitation
1676,system enable customer tax agent view personal profile application.,system shall enable customer tax agent view personal profile application.,0,Tax Calculator,Mobile app,106,105,67,73,"[('system', 'NN'), ('enable', 'JJ'), ('customer', 'NN'), ('tax', 'NN'), ('agent', 'NN'), ('view', 'NN'), ('personal', 'JJ'), ('profile', 'NN'), ('application', 'NN'), ('.', '.')]",The system shall  enable personal system customer tax agent view profile application
1677,system ask customer tax agent update field updating forms.,system shall ask customer tax agent update field updating forms.,0,Tax Calculator,Mobile app,92,92,58,64,"[('system', 'NN'), ('ask', 'VB'), ('customer', 'NN'), ('tax', 'NN'), ('agent', 'NN'), ('update', 'JJ'), ('field', 'NN'), ('updating', 'VBG'), ('forms', 'NNS'), ('.', '.')]",The system shall ask updating update system customer tax agent field
1678,system enable tax agent update resume application.,system shall enable tax agent update resume application.,0,Tax Calculator,Mobile app,81,81,50,56,"[('system', 'NN'), ('enable', 'JJ'), ('tax', 'NN'), ('agent', 'NN'), ('update', 'JJ'), ('resume', 'NN'), ('application', 'NN'), ('.', '.')]",The system shall  enable update system tax agent resume application
1679,system enable customer view tax agent profile application.,system shall enable customer view tax agent profile application.,0,Tax Calculator,Mobile app,87,86,58,64,"[('system', 'NN'), ('enable', 'JJ'), ('customer', 'NN'), ('view', 'NN'), ('tax', 'NN'), ('agent', 'NN'), ('profile', 'NN'), ('application', 'NN'), ('.', '.')]",The system shall  enable system customer view tax agent profile application
1680,system enable customer view tax agent review application.,system shall enable customer view tax agent review application.,0,Tax Calculator,Mobile app,87,86,57,63,"[('system', 'NN'), ('enable', 'JJ'), ('customer', 'NN'), ('view', 'NN'), ('tax', 'NN'), ('agent', 'NN'), ('review', 'NN'), ('application', 'NN'), ('.', '.')]",The system shall  enable system customer view tax agent review application
1681,system enable customer post review tax agent application.,system shall enable customer post review tax agent application.,0,Tax Calculator,Mobile app,93,93,57,63,"[('system', 'NN'), ('enable', 'JJ'), ('customer', 'NN'), ('post', 'NN'), ('review', 'NN'), ('tax', 'NN'), ('agent', 'NN'), ('application', 'NN'), ('.', '.')]",The system shall  enable system customer post review tax agent application
1682,system also enabling customer reply review posted customer.,system shall also enabling customer reply review posted customer.,0,Tax Calculator,Mobile app,101,100,59,65,"[('system', 'NN'), ('also', 'RB'), ('enabling', 'VBG'), ('customer', 'NN'), ('reply', 'NN'), ('review', 'NN'), ('posted', 'VBD'), ('customer', 'NN'), ('.', '.')]",The system shall enabling posted  system customer reply review
1683,system enable customer view tax agent rating application.,system shall enable customer view tax agent rating application.,0,Tax Calculator,Mobile app,86,85,57,63,"[('system', 'NN'), ('enable', 'JJ'), ('customer', 'NN'), ('view', 'NN'), ('tax', 'NN'), ('agent', 'NN'), ('rating', 'NN'), ('application', 'NN'), ('.', '.')]",The system shall  enable system customer view tax agent rating application
1684,"system shall enable redirect successfully logged user respected dashboard. (call operator, admin, driver caller dashboard)","system shall enable redirect successfully logged user respected dashboard. (call operator, admin, driver caller dashboard)",0,Tracking System,Mobile app,141,145,122,122,"[('system', 'NN'), ('shall', 'MD'), ('enable', 'VB'), ('redirect', 'JJ'), ('successfully', 'RB'), ('logged', 'VBN'), ('user', 'RB'), ('respected', 'VBN'), ('dashboard', 'NN'), ('.', '.'), ('(', '('), ('call', 'NN'), ('operator', 'NN'), (',', ','), ('admin', 'NN'), (',', ','), ('driver', 'RB'), ('caller', 'VB'), ('dashboard', 'NN'), (')', ')')]",The system shall enable logged respected caller redirect system dashboard call operator admin
1685,"system shall allow successfully logged user (call operator, admin, driver caller) logout system.",system shall allow successfully logged user logout system.,0,Tracking System,Mobile app,119,77,96,58,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('successfully', 'RB'), ('logged', 'VBN'), ('user', 'NN'), ('(', '('), ('call', 'NN'), ('operator', 'NN'), (',', ','), ('admin', 'NN'), (',', ','), ('driver', 'RB'), ('caller', 'NN'), (')', ')'), ('logout', 'NN'), ('system', 'NN'), ('.', '.')]",The system shall allow logged  system user call operator admin caller logout
1686,system shall enable provide interface(dashboard) caller type emergency shall shown.,system shall enable provide interface(dashboard) caller type emergency shall shown.,0,Tracking System,Mobile app,107,111,83,83,"[('system', 'NN'), ('shall', 'MD'), ('enable', 'VB'), ('provide', 'JJ'), ('interface', 'NN'), ('(', '('), ('dashboard', 'NN'), (')', ')'), ('caller', 'NN'), ('type', 'NN'), ('emergency', 'NN'), ('shall', 'MD'), ('shown', 'VBN'), ('.', '.')]",The system shall enable shown provide system interface dashboard caller type emergency
1687,"system shall enable provide interface(dashboard) caller map icon, phone icon profile icon shall also shown","system shall enable provide interface(dashboard) caller map icon, phone icon profile icon shall also shown",0,Tracking System,Mobile app,131,135,106,106,"[('system', 'NN'), ('shall', 'MD'), ('enable', 'VB'), ('provide', 'JJ'), ('interface', 'NN'), ('(', '('), ('dashboard', 'NN'), (')', ')'), ('caller', 'NN'), ('map', 'NN'), ('icon', 'NN'), (',', ','), ('phone', 'NN'), ('icon', 'NN'), ('profile', 'NN'), ('icon', 'NN'), ('shall', 'MD'), ('also', 'RB'), ('shown', 'VBN')]",The system shall enable shown provide system interface dashboard caller map icon phone profile
1688,system shall enable provide interface(dashboard) caller type emergency shall shown well phone icon.,system shall enable provide interface(dashboard) caller type emergency shall shown well phone icon.,0,Tracking System,Mobile app,129,133,99,99,"[('system', 'NN'), ('shall', 'MD'), ('enable', 'VB'), ('provide', 'JJ'), ('interface', 'NN'), ('(', '('), ('dashboard', 'NN'), (')', ')'), ('caller', 'NN'), ('type', 'NN'), ('emergency', 'NN'), ('shall', 'MD'), ('shown', 'VBN'), ('well', 'RB'), ('phone', 'NN'), ('icon', 'NN'), ('.', '.')]",The system shall enable shown provide system interface dashboard caller type emergency phone icon
1689,system shall enable provide interface(dashboard) caller type emergency shall shown well map icon shown.,system shall enable provide interface(dashboard) caller type emergency shall shown well map icon shown.,0,Tracking System,Mobile app,141,145,103,103,"[('system', 'NN'), ('shall', 'MD'), ('enable', 'VB'), ('provide', 'JJ'), ('interface', 'NN'), ('(', '('), ('dashboard', 'NN'), (')', ')'), ('caller', 'NN'), ('type', 'NN'), ('emergency', 'NN'), ('shall', 'MD'), ('shown', 'VBN'), ('well', 'RB'), ('map', 'JJ'), ('icon', 'NN'), ('shown', 'VBN'), ('.', '.')]",The system shall enable shown provide map system interface dashboard caller type emergency icon
1690,system shall enable fetch current location caller send database.,system shall enable fetch current location caller send database.,0,Tracking System,Mobile app,81,85,64,64,"[('system', 'NN'), ('shall', 'MD'), ('enable', 'VB'), ('fetch', 'JJ'), ('current', 'JJ'), ('location', 'NN'), ('caller', 'NN'), ('send', 'NN'), ('database', 'NN'), ('.', '.')]",The system shall enable fetch current system location caller send database
1691,system shall enable provide interface(dashboard) caller help icon shall show,system shall enable provide interface(dashboard) caller help icon shall show,0,Tracking System,Mobile app,94,98,76,76,"[('system', 'NN'), ('shall', 'MD'), ('enable', 'VB'), ('provide', 'JJ'), ('interface', 'NN'), ('(', '('), ('dashboard', 'NN'), (')', ')'), ('caller', 'NN'), ('help', 'NN'), ('icon', 'VB'), ('shall', 'MD'), ('show', 'VB')]",The system shall enable icon show provide system interface dashboard caller help
1692,system shall enable change status ambulance available acceptance request.,system shall enable change status ambulance available acceptance request.,0,Tracking System,Mobile app,100,104,73,73,"[('system', 'NN'), ('shall', 'MD'), ('enable', 'VB'), ('change', 'NN'), ('status', 'NN'), ('ambulance', 'NN'), ('available', 'JJ'), ('acceptance', 'NN'), ('request', 'NN'), ('.', '.')]",The system shall enable available system change status ambulance acceptance request
1693,system shall enable analyze time emergency completed time system send request ambulance.,system shall enable analyze time emergency completed time system send request ambulance.,0,Tracking System,Mobile app,145,149,88,88,"[('system', 'NN'), ('shall', 'MD'), ('enable', 'VB'), ('analyze', 'JJ'), ('time', 'NN'), ('emergency', 'NN'), ('completed', 'VBN'), ('time', 'NN'), ('system', 'NN'), ('send', 'VB'), ('request', 'NN'), ('ambulance', 'NN'), ('.', '.')]",The system shall enable completed send analyze system time emergency request ambulance
1694,system shall enable provide interface driver complete ongoing emergency,system shall enable provide interface driver complete ongoing emergency,0,Tracking System,Mobile app,101,105,71,71,"[('system', 'NN'), ('shall', 'MD'), ('enable', 'VB'), ('provide', 'JJ'), ('interface', 'NN'), ('driver', 'NN'), ('complete', 'JJ'), ('ongoing', 'NN'), ('emergency', 'NN')]",The system shall enable provide complete system interface driver ongoing emergency
1695,system shall enable provide interface call operator login help process call.,system shall enable provide interface call operator login help process call.,0,Tracking System,Mobile app,120,124,76,76,"[('system', 'NN'), ('shall', 'MD'), ('enable', 'VB'), ('provide', 'VB'), ('interface', 'NN'), ('call', 'NN'), ('operator', 'NN'), ('login', 'NN'), ('help', 'NN'), ('process', 'NN'), ('call', 'NN'), ('.', '.')]",The system shall enable provide  system interface call operator login help process
1696,system shall enable provide interface call operator history caller shall show percentage true fake.,system shall enable provide interface call operator history caller shall show percentage true fake.,0,Tracking System,Mobile app,134,138,99,99,"[('system', 'NN'), ('shall', 'MD'), ('enable', 'VB'), ('provide', 'VB'), ('interface', 'NN'), ('call', 'NN'), ('operator', 'NN'), ('history', 'NN'), ('caller', 'NN'), ('shall', 'MD'), ('show', 'VB'), ('percentage', 'NN'), ('true', 'JJ'), ('fake', 'NN'), ('.', '.')]",The system shall enable provide show true system interface call operator history caller percentage fake
1697,system shall enable provide interface call operator change type emergency verifying caller (live conversation).,system shall enable provide interface call operator change type emergency verifying caller (live conversation).,0,Tracking System,Mobile app,150,154,111,111,"[('system', 'NN'), ('shall', 'MD'), ('enable', 'VB'), ('provide', 'VB'), ('interface', 'NN'), ('call', 'NN'), ('operator', 'NN'), ('change', 'NN'), ('type', 'NN'), ('emergency', 'NN'), ('verifying', 'VBG'), ('caller', 'NN'), ('(', '('), ('live', 'JJ'), ('conversation', 'NN'), (')', ')'), ('.', '.')]",The system shall enable provide verifying live system interface call operator change type emergency caller conversation
1698,system shall enable provide interface call operator view call still accepted ambulance driver.,system shall enable provide interface call operator view call still accepted ambulance driver.,0,Tracking System,Mobile app,140,144,94,94,"[('system', 'NN'), ('shall', 'MD'), ('enable', 'VB'), ('provide', 'VB'), ('interface', 'NN'), ('call', 'NN'), ('operator', 'NN'), ('view', 'NN'), ('call', 'NN'), ('still', 'RB'), ('accepted', 'VBD'), ('ambulance', 'NN'), ('driver', 'NN'), ('.', '.')]",The system shall enable provide accepted  system interface call operator view ambulance driver
